id	logFC	AveExpr	t	P.Value	adj.P.Val	B
DLX1	1.50715825	1.889384485	2.422118696	0.01973016	0.23537247	-3.346678429
THBS2	-1.066039349	11.34672738	-2.419525865	0.019853913	0.236414476	-3.351920982
MMP11	-1.62567783	9.615476975	-2.414015133	0.020119268	0.236568845	-3.363049508
TNFSF12-TNFSF13	-1.947357997	5.789206316	-2.411728125	0.02023033	0.237149371	-3.367662417
LYPD1	-1.091231699	6.461312883	-2.401285471	0.020744517	0.24026393	-3.388683937
CTSK	-1.007002465	10.44131493	-2.400284539	0.020794416	0.240359521	-3.390695284
CALCA	1.242355559	1.386334832	2.392608355	0.021180708	0.242006673	-3.406099574
COL3A1	-1.014174956	14.79574938	-2.389258612	0.021351298	0.242911437	-3.412810161
AHNAK2	-1.219848854	9.229341486	-2.388492879	0.021390467	0.242911437	-3.414343175
CEMIP	-1.086933352	9.027716384	-2.384878849	0.02157621	0.243723491	-3.421573584
ERN2	-1.320503367	6.814387738	-2.381222464	0.021765608	0.244389515	-3.428880385
EPHA7	1.594407554	3.155626514	2.37828718	0.021918735	0.244979855	-3.434740076
ITGA11	-1.07424433	9.27363596	-2.372432568	0.022227059	0.245684682	-3.446411409
CASQ2	1.325450197	3.67623493	2.369869088	0.022363285	0.24587442	-3.451514974
HS6ST2	1.327044021	7.598797045	2.367831526	0.022472098	0.246636028	-3.455568545
MAPK4	1.273373675	4.741385661	2.36586261	0.022577698	0.246808552	-3.459483057
SPTSSB	1.710820024	4.231760249	2.363927883	0.022681899	0.247128682	-3.463327209
SYT14	1.270605803	4.348784048	2.36121144	0.022828932	0.247900009	-3.468720573
PGLYRP4	-1.341843686	4.069453022	-2.360971342	0.022841969	0.247900009	-3.469197051
COL10A1	-1.387392823	9.789709228	-2.360506652	0.02286722	0.247900009	-3.470119132
PRRX2	-1.36113793	5.730575188	-2.359183172	0.022939275	0.248542832	-3.472744554
TMEM151B	1.294947538	1.572976074	2.353764835	0.0232364	0.249722847	-3.483481468
FABP4	1.506481488	6.274808825	2.353087001	0.023273812	0.249722847	-3.484823345
ZG16B	-1.37451886	3.610650519	-2.352697682	0.023295325	0.249761271	-3.485593931
ATP6V0A4	1.290954954	4.267473536	2.350907048	0.023394501	0.250011123	-3.48913692
MTMR7	1.172866445	3.080991197	2.35017929	0.023434917	0.250011123	-3.490576296
MAGEC2	1.108501326	0.607252779	2.349601407	0.023467054	0.250011123	-3.491719008
NOL4	1.588887044	2.035946025	2.346164672	0.023658997	0.250489634	-3.498510447
MRAP2	1.05117639	4.357207791	2.343918714	0.023785196	0.250764176	-3.502944695
ELAVL3	1.496127352	1.752457826	2.343109281	0.023830825	0.250764176	-3.504541988
FZD9	1.386392865	3.725799087	2.342959441	0.02383928	0.250764176	-3.504837629
MMP9	-1.182831309	9.863026695	-2.339497181	0.024035405	0.251421375	-3.511664834
DACT2	1.109141261	5.742658276	2.319922726	0.025171708	0.255667387	-3.550119431
NR0B2	1.546358732	3.484890187	2.319127855	0.025218852	0.255746198	-3.551675788
ZFY	2.308856782	5.200207659	2.316909496	0.02535084	0.256791781	-3.556017189
PGC	2.200892667	8.298751646	2.315756565	0.025419681	0.256913684	-3.558272264
SLITRK4	-1.006593723	4.178125433	-2.309907927	0.025771487	0.258265068	-3.569698722
ADGRV1	1.067620762	7.189467137	2.305928763	0.026013326	0.258377878	-3.577460194
NLGN4Y	1.794877467	5.183409228	2.303854959	0.026140168	0.258377878	-3.581501158
AMY1A	-1.424371752	1.560659528	-2.303833028	0.026141512	0.258377878	-3.581543877
IGLL1	-1.221075715	11.33774088	-2.295855623	0.026634636	0.260378663	-3.597062423
CHRM2	1.27839132	2.053233058	2.293340475	0.026791826	0.261096325	-3.601946632
APOC1	-1.018782128	11.25147721	-2.28985518	0.027011017	0.261863234	-3.608708003
CA4	1.656707872	3.651642588	2.288980683	0.027066265	0.261863234	-3.610403265
KCNK9	1.144281492	2.038762476	2.288177189	0.027117117	0.261908056	-3.611960447
CNTN3	-1.036159416	5.64059813	-2.287294537	0.027173076	0.262093128	-3.613670553
XDH	-1.314119651	6.768290445	-2.287244527	0.02717625	0.262093128	-3.613767431
PCDHAC2	1.267298662	5.960172066	2.286342467	0.027233552	0.262180568	-3.615514588
DLL3	1.382864981	2.469870475	2.284363901	0.027359617	0.262704716	-3.619344925
ALPK2	-1.184616818	5.348101969	-2.283060333	0.027442959	0.263089959	-3.621867132
LAMA3	1.106923398	9.067105821	2.264533871	0.028652165	0.268425705	-3.657593305
PEG10	1.386789933	9.371029554	2.262510535	0.028787062	0.269129015	-3.661481493
TBX20	-1.01932508	1.573066595	-2.262140729	0.028811778	0.269129015	-3.66219185
CA9	-1.761725399	5.298605062	-2.259434337	0.028993239	0.269860145	-3.667387797
BIRC7	-1.245167156	4.97942084	-2.25822918	0.02907437	0.269959505	-3.66970001
MMP1	-1.905090172	7.535706986	-2.25416843	0.029349232	0.270844338	-3.677483939
MYBPH	-1.276918615	3.413190699	-2.248871927	0.029711216	0.271611541	-3.687620365
RSPO2	1.231138326	4.076977682	2.242534795	0.030149537	0.27354783	-3.699724082
TDO2	-1.064634102	6.364814393	-2.238003718	0.030466457	0.274445242	-3.708362056
MAGEA11	1.449528679	0.912545131	2.23561976	0.030634385	0.274445242	-3.712901353
SLC10A4	1.169991982	3.523968	2.235506745	0.030642366	0.274445242	-3.713116452
FAM83A	-1.520748233	7.623357065	-2.234220988	0.030733299	0.274892282	-3.715563008
ANKRD1	1.243805845	4.061250491	2.225421436	0.03136209	0.276935849	-3.732277547
BEX1	1.093193035	2.920763126	2.224685737	0.031415175	0.277047996	-3.733672665
LGALS9C	-1.025794657	3.460085813	-2.221325975	0.031658617	0.277417567	-3.740039274
MAPT	1.05324637	6.056540588	2.219804821	0.031769386	0.277566037	-3.742919331
CILP	-1.211976472	8.110488951	-2.217829886	0.031913713	0.278419636	-3.746656255
LOC105371598	1.050609505	1.183737752	2.212095593	0.032336074	0.280477431	-3.757491842
GJB2	-1.336894118	7.986794934	-2.205882661	0.032799276	0.281589822	-3.769207144
LOC102724971	-1.243362133	10.76230161	-2.204230489	0.032923439	0.281589822	-3.772318197
XAGE1A	-2.195463715	4.551920821	-2.202806056	0.033030821	0.281854326	-3.774998952
SERPINA1	-1.096625704	12.87080128	-2.200676579	0.033191932	0.28248669	-3.779004058
APCDD1L	-1.327849668	3.66526635	-2.192928716	0.033784006	0.284419284	-3.793550583
LOC102723407	-1.22283686	10.68814339	-2.189633549	0.034038636	0.285575652	-3.799725032
UTY	1.168172658	7.373374175	2.188556005	0.034122269	0.285907926	-3.801742541
WNK2	1.096397407	6.946652149	2.184630628	0.034428476	0.286895782	-3.809085517
BCL2L2-PABPN1	-1.593500326	1.663512877	-2.180964134	0.034716681	0.287669909	-3.81593486
USP9Y	2.562539768	6.242482915	2.180551646	0.034749238	0.287696517	-3.816704859
GLS2	1.047988429	5.575798335	2.174332351	0.035243394	0.288841632	-3.828300645
FER1L6	1.229671666	2.217076541	2.170139094	0.035580065	0.28986201	-3.836104189
PLA2G2D	-1.201230466	8.189596301	-2.169817968	0.035605964	0.28986201	-3.836701308
PCSK1N	1.52130061	7.550469659	2.168265795	0.035731385	0.290427896	-3.839586517
XAGE1B	-1.851127529	3.229800055	-2.160558833	0.036359926	0.291217544	-3.853888233
CCL3L1	-1.763972089	4.616931439	-2.158449049	0.036533682	0.291566019	-3.857796323
SLC6A5	1.181964189	0.821454606	2.157707454	0.036594931	0.291713764	-3.859169311
NME1-NME2	1.675391026	4.007549833	2.157478281	0.036613877	0.29172799	-3.859593526
DIRAS2	1.461531763	2.653535622	2.150889386	0.0371623	0.29333525	-3.871774786
SLC8A2	1.055660669	2.724440971	2.148966271	0.037323728	0.29333525	-3.875324597
CHRDL2	-1.067396789	4.763402711	-2.148857595	0.037332869	0.29333525	-3.875525124
HOXA13	1.186849289	1.221310521	2.14576455	0.037593855	0.293776499	-3.881228965
FCRL5	-1.049539722	7.616702795	-2.145042506	0.03765501	0.293793163	-3.882559539
MOGAT2	-1.111095401	2.472835404	-2.143589527	0.03777834	0.294266232	-3.885235996
PCARE	1.000556059	1.847972831	2.135117009	0.038504603	0.297037797	-3.900814117
LOC112268337	-1.364680652	1.582385217	-2.133859614	0.038613427	0.29744095	-3.90312187
NKX1-2	1.509741119	1.793739604	2.12556196	0.039338371	0.299153822	-3.918323822
PRSS2	-1.997973329	3.583376656	-2.124564581	0.03942631	0.299153822	-3.920147926
KLRC1	-1.016762312	4.39775672	-2.124257423	0.039453427	0.299153822	-3.920709549
RPSAP58	1.23975014	8.413553593	2.120900919	0.039750819	0.300149501	-3.926842535
LOC105377021	1.019276303	2.125020832	2.117267175	0.040074994	0.301080197	-3.933473378
CASKIN1	1.146849013	4.246501759	2.11654626	0.040139583	0.301274448	-3.934787823
DDX3Y	2.600231202	7.40899091	2.116288387	0.040162709	0.301274448	-3.935257917
SYT4	1.473432901	1.13765784	2.115937191	0.040194224	0.301387577	-3.935898063
FAM3D	-1.041687087	4.707937356	-2.113090305	0.040450487	0.302084448	-3.941084113
NEUROD1	1.299947344	0.698753065	2.107584474	0.040950167	0.304014427	-3.951098033
ANO4	1.048244413	3.284155843	2.10477838	0.04120691	0.304996892	-3.956193681
CAMK2B	1.318814636	4.076742835	2.10309109	0.041361967	0.30521685	-3.959255055
CACNG4	1.221059804	6.608339163	2.098212773	0.04181315	0.307497918	-3.968095092
GSTM1	1.811717846	5.979530943	2.096955464	0.041930132	0.308009393	-3.970370806
DPF1	1.1089817	3.452852993	2.096749641	0.04194931	0.308034114	-3.97074324
RFLNA	-1.265164338	5.552776754	-2.095272912	0.042087128	0.308813313	-3.973414499
TNFRSF17	-1.005797373	5.43894338	-2.090193638	0.042564193	0.310326738	-3.982590888
TMEM229A	1.095319939	1.528968976	2.08373776	0.043177381	0.312458604	-3.994228504
ISL1	1.205696289	1.887211864	2.07818058	0.043711384	0.314256483	-4.004222927
EPYC	-1.320084104	2.572361248	-2.070386551	0.044470054	0.315725554	-4.018204077
CHRNA3	1.141651017	3.251530233	2.063118678	0.045187846	0.317287983	-4.031203252
AGTR2	1.626378797	3.058279519	2.052704738	0.046233964	0.320208871	-4.049765094
PENK	1.444142073	4.065945623	2.052573385	0.046247292	0.320208871	-4.049998734
CCL11	-1.204447798	5.417590898	-2.052510536	0.046253671	0.320208871	-4.05011052
CYP2A6	1.140065327	2.343196901	2.049583999	0.046551537	0.321632791	-4.055312725
CCL19	-1.08199861	8.937461286	-2.042775275	0.04725101	0.322641752	-4.067392642
RASSF10	1.076789037	5.241123534	2.033182918	0.048251967	0.325388478	-4.084355932
